YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG POINTS,TOTAL POINTS,POINTS LOST,POINTS GAINED
2024,126,4,34362,Laurie Canter,1.0636,42.5457,-22.2201,37.52
2024,127,-1,12716,Charley Hoffman,1.0592,49.7831,-30.4794,59.34
2024,128,0,28252,Seamus Power,1.0537,52.6828,-60.5791,54.4523
2024,129,91,26328,Shaun Norris,1.052,54.7016,-15.6143,53.8745
2024,130,-3,36884,Ben Kohles,1.0506,54.6304,-39.7871,49.0945
2024,131,-2,34466,Peter Malnati,1.0493,54.5633,-42.6554,68.6492
2024,132,-1,48640,Johannes Veerman,1.0464,53.3682,-18.2244,55.7613
2024,133,0,40026,Daniel Berger,1.0429,41.7169,-12.0057,45.9462
2024,134,-2,45734,John Catlin,1.0381,53.9805,-20.2664,60.3901
2024,135,-1,40115,Adam Svensson,1.0256,53.3311,-73.491,46.0931
2024,136,-1,59875,Jang Yu Bin,1.023,40.9202,-10.5516,39.8441
2024,137,-1,47917,Takumi Kanaya,1.0149,52.7736,-40.1211,43.0509
2024,138,-1,50223,Ewen Ferguson,1.0057,52.296,-39.2298,46.2636
2024,139,0,33921,Ben Campbell,1.0042,40.1697,-14.6988,33.4254
2024,140,-2,55893,Sam Stevens,1.0034,52.1746,-43.8285,49.4586
2024,141,1,29484,Peter Uihlein,0.99,39.5991,-8.7067,39.8976
2024,142,-2,39834,Guido Migliozzi,0.9888,51.4176,-31.1461,53.7073
2024,143,-2,34256,Andrew Putnam,0.9795,50.9331,-69.6763,44.7188
2024,144,-1,47056,Rikuya Hoshino,0.9701,49.4732,-48.68,38.2369
2024,145,-1,46646,Antoine Rozner,0.9673,50.298,-41.465,43.8533
2024,146,-1,52513,Carson Young,0.963,50.0753,-27.6615,47.3822
2024,147,-1,49590,Frankie Capan III,0.9398,46.051,-14.9597,46.4086
2024,148,-1,57900,Chandler Phillips,0.9352,46.7622,-24.7161,50.4432
2024,149,-1,59143,Mac Meissner,0.9332,44.7942,-22.21,46.3046
2024,150,0,36326,David Lipsky,0.9109,47.3669,-31.2038,43.8843
2024,151,25,28723,John Parry,0.9106,47.3509,-13.7371,49.1601
2024,152,-3,39327,Ben Silverman,0.9098,40.0299,-28.7688,38.5739
2024,153,2,50474,Tim Widing,0.9036,44.2775,-21.6304,50.1595
2024,154,-3,39975,Michael Kim,0.8967,46.6288,-43.4176,41.7665
2024,155,-3,34587,Chan Kim,0.8939,46.4837,-39.8865,40.6067
2024,156,-2,49009,Daniel Brown,0.8897,46.2633,-24.4465,37.7771
2024,157,-4,32791,K.H. Lee,0.8884,46.1961,-65.8692,45.4776
2024,158,-2,52666,Sami Valimaki,0.8778,45.6454,-45.9607,37.557
2024,159,-2,52585,Frederic LaCroix,0.8763,44.6913,-20.9722,44.1788
2024,160,-2,57123,Steven Fisk,0.8701,41.7637,-14.416,46.946
2024,161,-1,37094,Joseph Dean,0.8644,34.5775,-5.0967,39.5749
2024,162,-3,51690,Taylor Dickson,0.8593,42.108,-20.3226,42.7674
2024,163,-2,60067,Joe Highsmith,0.8555,39.3513,-19.5377,35.8455
2024,164,-1,55721,Alex Fitzpatrick,0.8497,44.1824,-27.8091,33.9796
2024,165,-3,40058,Zac Blair,0.8314,40.7385,-34.3521,31.8811
2024,166,-2,63459,Dan Bradbury,0.8269,42.9982,-21.823,32.2066
2024,167,-1,63121,William Mouw,0.8171,32.683,-8.6957,33.5109
2024,168,-3,33597,Harry Higgs,0.8169,40.8454,-21.2379,45.9707
2024,169,-2,32070,Rafael Campos,0.8133,42.2924,-16.3648,40.5375
2024,170,-2,54218,Yuta Sugiura,0.8085,32.3412,-11.8352,30.2018
2024,171,-2,53488,Angel Hidalgo Jordan,0.7974,41.4646,-16.5134,42.2732
2024,172,0,34575,Adrian Otaegui,0.7892,41.0397,-51.2891,37.2249
2024,173,-2,48051,Yannik Paul,0.7838,40.7555,-48.5599,33.2982
2024,174,-1,23481,Marcel Siem,0.7822,36.7633,-32.6793,27.0713
2024,175,-5,38991,Alejandro Tosti,0.7805,40.585,-34.9634,33.4827
2024,176,-1,52287,David Ravetto,0.7658,39.8227,-15.1986,43.4792
2024,177,5,39201,Nacho Elvira,0.7644,39.749,-24.0747,38.9017
2024,178,-4,46340,Alex Smalley,0.7635,39.7038,-53.4209,29.3653
2024,179,-1,57364,Michael Thorbjornsen,0.7574,30.2973,-10.4622,32.9226
2024,180,-3,50188,S.H. Kim,0.7541,39.2143,-44.538,36.8296
2024,181,-2,50484,Hayden Springer,0.7529,30.1146,-11.3593,30.8371
2024,182,-1,60882,Thomas Rosenmueller,0.7497,36.7376,-10.0903,35.7038
2024,183,-3,34310,Alexander Björk,0.7384,33.2261,-46.104,20.044
2024,184,-1,28775,Nate Lashley,0.7317,38.0486,-35.802,40.3877
2024,185,1,30163,Henrik Norlander,0.7285,36.4251,-20.2403,32.5383
2024,186,-1,51890,Greyson Sigg,0.7281,37.8586,-29.1195,34.8568
2024,187,0,60369,Sam Bairstow,0.721,37.4939,-13.3769,38.1261
2024,188,-4,39058,Lucas Herbert,0.7199,28.7945,-55.6785,17.1343
2024,189,-1,60004,Jacob Bridgeman,0.7183,36.6345,-21.0488,32.7733
2024,190,-1,59095,Chris Gotterup,0.712,36.3101,-24.9599,37.2072
2024,191,-1,50584,Connor Syme,0.7086,36.8477,-37.1623,28.7042
2024,192,-1,59836,Pierceson Coody,0.7067,36.747,-33.8158,33.177
2024,193,12,35314,Andy Sullivan,0.7065,36.7366,-22.9211,36.3363
2024,194,-1,30852,Ryo Ishikawa,0.7048,33.1256,-23.156,25.1679
2024,195,42,64052,Angel Ayora,0.7024,28.0955,-2.4504,29.0607
2024,196,-2,32775,Shugo Imahira,0.7023,33.0078,-26.0731,26.461
2024,197,-5,31323,Gary Woodland,0.7014,30.862,-42.173,23.9286
2024,198,-2,46443,Brian Campbell,0.698,34.2017,-11.5518,39.1951
2024,199,-4,26329,Louis Oosthuizen,0.6966,27.8626,-23.2015,14.7461
2024,200,-2,37066,Grant Forrest,0.6965,35.5191,-32.5938,22.2653
2024,201,-4,29535,Brice Garnett,0.6925,29.084,-20.6406,35.6019
2024,202,0,50497,Adrien Dumont de Chassart,0.6759,27.7125,-18.2007,21.9939
2024,203,-3,37275,Sam Ryder,0.6758,35.144,-46.9271,26.6134
2024,204,0,53196,Robin Williams,0.6754,35.1189,-8.1186,38.3947
2024,205,-4,59018,Ryan Gerard,0.6751,35.1039,-23.2321,33.8068
2024,206,-7,23452,Nicolas Colsaerts,0.6725,28.2437,-4.98,26.1375
2024,207,-4,27139,David Skinns,0.668,31.3981,-23.8558,32.9447
2024,208,-2,54185,Elvis Smylie,0.6659,26.6374,-3.356,26.1331
2024,209,7,48936,Ugo Coussaud,0.6649,34.5754,-21.4754,36.5108
2024,210,-3,32686,Takahiro Hataji,0.6599,32.9934,-12.4642,33.5368
2024,211,-3,35709,Jeff Winther,0.6561,32.8068,-22.8053,22.039
2024,212,-3,39113,Shubhankar Sharma,0.6496,33.7798,-28.0417,28.0824
2024,213,-2,49813,Daniel Hillier,0.6495,33.7745,-32.7885,21.8193
2024,214,-1,29454,Bernd Wiesberger,0.6461,25.8436,-12.8575,29.8924
2024,215,-3,54190,Richard Mansell,0.6445,33.5137,-31.8989,29.2691
2024,216,-6,55789,Taylor Montgomery,0.6443,28.3503,-59.6644,27.621
2024,217,1,28300,Joost Luiten,0.6442,33.4968,-35.6966,23.371
2024,218,-4,63454,Johnny Keefer,0.6423,25.6929,-1.7214,27.4143
2024,219,-4,27214,Kevin Streelman,0.6381,30.6271,-34.357,22.0798
2024,220,-3,31109,Richard Lee,0.6367,33.1086,-17.2773,29.0201
2024,221,5,63343,Aldrich Potgieter,0.6348,25.3925,-6.7856,30.1807
2024,222,-1,48084,Wesley Bryan,0.6332,25.3264,-7.6736,26.8387
2024,223,-4,39859,Cristobal Del Solar,0.6304,32.7791,-20.615,34.6738
2024,224,7,47102,David Micheluzzi,0.6293,30.2068,-14.3914,29.4177
2024,225,-2,37183,Chiehpo Lee,0.6276,25.1047,-8.2781,20.7795
2024,226,-4,60019,Jackson Suber,0.6216,27.9711,-15.4297,26.5811
2024,227,6,39524,Sean Crocker,0.6202,31.0092,-26.7436,26.6529
2024,228,1,63807,Neal Shipley,0.6183,24.7318,-2.6431,27.3749
2024,229,-1,34371,Adrien Saddier,0.618,30.284,-14.3213,26.4878
2024,230,0,51680,Alistair Docherty,0.6176,29.6442,-8.5302,31.7109
2024,230,-3,39335,Kevin Roy,0.6176,32.1149,-17.8761,35.954
2024,232,-7,52514,Trace Crowe,0.6162,28.96,-17.3197,23.7032
2024,233,1,37447,Zander Lombard,0.6141,29.4758,-37.3923,22.3446
2024,234,-2,48632,Yuto Katsuragawa,0.6123,30.0038,-26.4029,31.8204
2024,235,-11,51070,Vincent Norrman,0.6113,29.3425,-45.7152,5.4882
2024,236,5,50672,Hamish Brown,0.6029,25.3205,-7.2578,26.3561
2024,237,-1,47888,Taiga Semikawa,0.5998,31.1914,-33.0494,21.5358
2024,237,-2,50493,Justin Suh,0.5998,31.1883,-57.3165,17.092
2024,239,-1,34076,Joel Dahmen,0.5988,31.1359,-36.1965,31.3048
2024,240,-1,55454,Carl Yuan,0.5958,30.9824,-33.6838,30.9316
2024,241,1,55077,Frederik Kjettrup,0.5935,23.7391,-2.7165,25.5103
2024,242,-2,54783,Dylan Wu,0.593,30.8359,-30.4899,26.0038
2024,243,0,48979,MK Kim,0.5901,30.6829,-16.6186,31.8566
2024,243,3,49562,Suteepat Prateeptienchai,0.5901,30.6841,-8.4285,29.1293
2024,245,-1,59160,John Pak,0.5886,23.5449,-7.1212,25.7675
2024,246,-1,56781,Isaiah Salinda,0.5853,26.9239,-13.9683,29.2269
2024,247,0,54304,Karl Vilips,0.5851,23.4034,-1.9767,25.3801
2024,248,0,27936,Martin Laird,0.576,28.7996,-30.2222,24.5941
2024,249,8,35225,Brandon Stone,0.5722,29.7521,-13.738,30.4001
2024,250,-1,36824,Paul Peterson,0.5715,29.7165,-10.0925,28.9022
2024,251,70,46404,Marcus Kinhult,0.5679,27.2597,-16.7612,25.744
2024,252,-2,36871,Matt NeSmith,0.5677,29.5192,-39.0896,25.9768
2024,253,0,34500,Ryosuke Kinoshita,0.5639,29.3227,-16.0094,28.5323
2024,254,-3,55707,Calum Hill,0.5617,29.2077,-20.9534,23.8949
2024,255,-1,52144,Braden Thornberry,0.5615,22.4609,-1.9853,24.0307
2024,256,-4,58605,Quade Cummins,0.5613,28.628,-15.0457,30.9788
2024,257,31,32659,Darius Van Driel,0.5542,28.8205,-18.6877,28.492
2024,258,0,34607,Francesco Laporta,0.5541,28.8142,-12.9045,24.5586
2024,259,-3,59652,Sam Bennett,0.5513,22.0522,-13.5047,21.6041
2024,260,-2,47988,Nick Hardy,0.5499,28.5965,-36.1804,22.3805
2024,261,-6,34317,Joakim Lagergren,0.5408,22.1726,-15.6253,21.7788
2024,262,-2,54475,Brandon R-Thompson,0.5347,22.9918,-10.7185,19.4732
2024,263,-1,59440,Ricky Castillo,0.5346,21.3855,-11.9256,21.5109
2024,264,-1,46441,Robby Shelton,0.5309,27.6088,-40.0497,24.9465
2024,265,0,26596,Ryan Moore,0.5298,27.552,-21.0633,23.5391
2024,266,-5,55708,Hayden Buckley,0.529,25.9224,-44.504,22.5683
2024,267,0,27747,Hiroshi Iwata,0.528,27.4546,-22.3595,24.4378
2024,268,-2,47078,Trav Smyth,0.5268,21.0721,-17.8051,17.3518
2024,269,0,66583,Taisei Shimizu,0.525,25.2013,-13.212,23.7293
2024,270,-2,32333,Kevin Tway,0.5205,27.0681,-17.7289,27.762
2024,271,0,35261,Miguel Tabuena,0.5191,20.7639,-10.682,16.7492
2024,272,-2,47983,Chad Ramey,0.5183,26.9532,-26.2286,22.2942
2024,273,-1,36521,Young-han Song,0.5161,26.837,-20.3322,16.1444
2024,274,-10,29670,Pablo Larrazabal,0.5132,23.0943,-42.6062,15.723
2024,275,-2,48001,Zach Bauchou,0.5109,20.4357,-7.0531,19.9576
2024,276,-2,35557,Aaron Cockerill,0.5053,26.2736,-23.3456,25.6445
2024,277,-2,51151,Todd Clements,0.5035,26.1845,-25.2076,18.4614
2024,278,1,26503,Alfredo Garcia-Heredia,0.5007,23.0303,-12.0242,20.7683
2024,279,3,54607,Danny Walker,0.4988,19.9505,-7.4579,20.0704
2024,280,1,34563,Chesson Hadley,0.4963,24.8152,-31.1204,16.9051
2024,281,-3,51600,Jimmy Stanger,0.4957,19.8291,-23.2093,18.7677
2024,282,-6,26476,Chez Reavie,0.4956,25.7688,-44.0167,17.5282
2024,283,-3,33413,Ben Martin,0.4939,19.7577,-27.5081,19.8932
2024,283,-6,56512,Conor Purcell,0.4939,25.6842,-9.6884,24.9151
2024,285,-2,34255,Joseph Bramlett,0.4912,22.595,-27.8128,23.0977
2024,286,-1,56100,Ren Yonezawa,0.4886,24.9186,-9.4039,22.7166
2024,287,-3,29531,Richie Ramsay,0.4884,24.4213,-31.6059,18.828
2024,288,-2,52374,Brandon Wu,0.4784,24.8783,-46.7975,20.334
2024,289,-2,58696,Peter Kuest,0.478,19.1213,-17.1479,13.803
2024,290,6,58619,Kevin Velo,0.4751,23.7525,-13.1697,30.3046
2024,291,-2,27770,Camilo Villegas,0.4747,24.6841,-23.7701,7.1003
2024,291,1,29939,Fabrizio Zanotti,0.4747,22.3121,-19.0771,17.9889
2024,293,1,31273,Gavin Green,0.4742,24.6595,-27.988,20.2316
2024,294,-3,50762,Alejandro Del Rey,0.4737,24.6333,-21.8675,21.0065
2024,295,5,35174,Matthew Southgate,0.4734,24.6175,-30.1495,15.2171
2024,296,-6,45609,Tyler Duncan,0.4702,24.451,-32.8389,13.9562
2024,297,-4,54421,Garrick Higgo,0.4685,24.3598,-31.1642,20.2568
2024,298,-3,37380,Curtis Luck,0.4676,18.7034,-12.2038,11.0878
2024,299,5,63617,Ryggs Johnston,0.4659,18.6376,-0.1996,18.8372
2024,300,112,59629,Ryan van Velzen,0.4647,24.1639,-12.9158,23.1731
2024,301,2,30756,Andrea Pavan,0.4636,24.1075,-13.1694,20.0863
2024,302,-5,35437,Carter Jenkins,0.4613,20.7577,-13.7083,16.2754
2024,303,-5,59827,Tom Vaillant,0.4544,22.2668,-10.8992,20.1452
2024,304,-3,34021,Bud Cauley,0.454,18.1613,-2.5726,20.734
2024,305,-3,64054,Caleb Surratt,0.4526,18.1036,-1.0846,18.5838
2024,306,-7,57737,Jayden Schaper,0.4525,23.5323,-16.6848,18.419
2024,307,22,57688,Casey Jarvis,0.4512,23.462,-21.4334,21.7952
2024,308,-1,35296,Haotong Li,0.4419,19.8864,-14.7699,23.9139
2024,309,-4,52370,Mason Andersen,0.4416,22.5205,-17.0451,22.6282
2024,310,-4,32366,Kevin Chappell,0.4411,17.6421,-8.7691,17.9366
2024,311,0,32622,Matthew Baldwin,0.4402,22.8904,-24.0705,19.9964
2024,312,-3,35310,Lanto Griffin,0.4366,20.0819,-15.1094,18.7411
2024,313,-5,51190,Guntaek Koh,0.4365,22.6992,-15.8785,19.9011
2024,314,-4,29303,Hur In-hoi,0.4364,20.0727,-7.9042,18.6036
2024,315,-2,65408,Barend Botha,0.434,17.3615,-1.3189,18.6804
2024,316,-5,35658,Kris Ventura,0.4333,20.366,-9.5076,23.3127
2024,317,-3,30978,Kiradech Aphibarnrat,0.4314,22.4349,-17.181,24.9961
2024,318,-1,59826,Joel Moscatel Nachsh,0.4299,21.4957,-6.8354,23.2839
2024,319,-4,34225,Lee Jung-hwan,0.425,19.9772,-12.5239,18.0524
2024,320,-4,32640,Troy Merritt,0.4245,22.0747,-27.5008,19.4745
2024,321,1,48237,Oliver Lindell,0.4244,21.6436,-5.2121,21.555
2024,322,-2,47472,MJ Maguire,0.4216,16.8636,-4.219,15.6757
2024,323,-5,50095,Austin Smotherman,0.421,21.8939,-19.4701,18.8897
2024,324,7,31138,Scott Jamieson,0.4175,20.457,-21.1475,18.3924
2024,325,-2,35778,Kazuki Higa,0.4173,21.6998,-25.7505,18.1767
2024,326,-7,45194,Marcus Armitage,0.417,21.6852,-20.9238,14.8248
2024,327,0,57492,Eugenio Chacarra,0.4127,16.5098,-7.8732,11.4044
2024,328,-4,50582,Jeremy Paul,0.4121,21.4304,-16.0205,24.4816
2024,329,-4,47239,Phachara Khongwatmai,0.4118,17.7061,-16.5473,10.681
2024,330,-4,20229,Stewart Cink,0.4097,16.3862,-19.4804,13.5556
2024,331,1,29289,S.Y. Noh,0.4079,20.3975,-10.3134,21.2674
2024,332,1,46270,Takashi Ogiso,0.4071,20.3554,-10.1341,18.7439
2024,333,-6,24024,Zach Johnson,0.407,16.2789,-18.3704,15.6188
2024,334,-4,57625,Trent Phillips,0.4064,18.2892,-14.9235,19.4327
2024,335,0,55623,Kaito Onishi,0.4047,21.0445,-18.746,23.0147
2024,336,-2,33667,Carlos Ortiz,0.4043,16.1709,-9.2694,22.888
2024,337,-1,47125,Matt Atkins,0.4037,16.1484,-4.7651,14.4409
2024,338,-1,20766,Padraig Harrington,0.4,16.0007,-17.593,11.7959
2024,339,0,59442,Parker Coody,0.3983,17.5272,-19.9406,13.2894
2024,340,0,22371,Aaron Baddeley,0.3973,18.6748,-24.389,16.6331
2024,341,1,56190,Wooyoung Cho,0.3966,17.4526,-5.3534,16.4035
2024,342,-1,34308,Brandon Crick,0.3964,17.4407,-8.5668,17.7591
2024,343,-5,56987,Jeong Weon Ko,0.3938,20.4766,-16.11,20.5544
2024,344,49,60073,Martin Couvra,0.3935,16.1331,-6.9674,14.4113
2024,345,-2,33486,Roger Sloan,0.3917,18.7994,-14.3162,12.7923
2024,346,-1,59859,Yuta Kaneko,0.3899,17.5472,-5.5263,16.5598
2024,347,4,33459,Jens Dantorp,0.3887,20.211,-28.4406,13.5821
