type_name,kind,description
BroadcastCoverageVideo,UNION,
BroadcastNetworks,OBJECT,
UpcomingBroadcastNetworks,OBJECT,
UpcomingBroadcastNetwork,OBJECT,
NewsArticles,OBJECT,
NewsArticle,OBJECT,
NewsArticleSponsor,OBJECT,
ArticleFormType,ENUM,
NewsArticleAuthor,OBJECT,
ArticlePlayer,OBJECT,
NewsSponsor,OBJECT,
IntegratedComponent,OBJECT,
IntegrationPartner,ENUM,
AdConfig,OBJECT,
GlobalAdConfig,OBJECT,
AdTagConfig,OBJECT,
AdTagRowConfig,OBJECT,
AdSize,OBJECT,
PlayerSponsorship,OBJECT,
PlayerSponsorBrand,ENUM,
PlayerSponsors,OBJECT,
Sponsor,OBJECT,
TourCupRankingEvent,OBJECT,
TourCupType,ENUM,
TourCupRankingData,UNION,
StandardCupRanking,OBJECT,
CupRankingPlayer,OBJECT,
CupRankingTotal,OBJECT,
SegmentedCupRankingWrapper,OBJECT,
SegmentedCupRanking,OBJECT,
CupRankingPlayerWrapper,UNION,
CupRankingPlayerInfoRow,OBJECT,
TourCupWinner,OBJECT,
TourCupCombined,OBJECT,
TourCupCombinedRow,UNION,
TourCupCombinedPlayer,OBJECT,
TourCupCombinedData,OBJECT,
TourCupCombinedInfo,OBJECT,
TourCupCombinedWinner,OBJECT,
TourCupCombinedTotal,OBJECT,
StatDetailEventQuery,INPUT_OBJECT,
StatDetailQueryType,ENUM,
TourCupSplit,OBJECT,
TournamentOdds,OBJECT,
OddsProvider,ENUM,
OddsBanner,OBJECT,
CallToAction,OBJECT,
OddsMessage,OBJECT,
AvailableMarket,OBJECT,
OddsOption,UNION,
OddsToWin,OBJECT,
OddsFinishes,OBJECT,
OddsCutsPlayers,OBJECT,
OddsLeadersPlayers,OBJECT,
OddsNationality,OBJECT,
OddsMatchups,OBJECT,
MatchupsPlayer,OBJECT,
OddsGroup,OBJECT,
TournamentOddsCompressed,OBJECT,
PlayerOdds,OBJECT,
PlayerOddsMarket,OBJECT,
ProfileOverview,OBJECT,
ProfileHeadshot,OBJECT,
ProfileStandings,OBJECT,
ProfileStandingsTotal,OBJECT,
ProfileFedExFallStandings,OBJECT,
ProfilePerformance,OBJECT,
ProfilePerformanceStat,OBJECT,
ProfileSnapshotItem,OBJECT,
PlayerProfileStat,OBJECT,
PlayerProfileStatCategory,OBJECT,
PlayerProfileStatCategoryItem,ENUM,
PlayerProfileStatItem,OBJECT,
ScoringTendency,ENUM,
PlayerProfileStatItemDetail,OBJECT,
PlayerProfileStatYear,OBJECT,
PlayerProfileStatFull,OBJECT,
PlayerProfileStatsFullV2,OBJECT,
PlayerProfileMessage,OBJECT,
PlayerOverviewStandings,OBJECT,
PlayerResults,OBJECT,
PlayerResultsSeasonPills,OBJECT,
SecondaryCupDetails,OBJECT,
PlayerResultTournament,OBJECT,
SeasonRecap,OBJECT,
SeasonRecapSeason,OBJECT,
SeasonRecapItems,OBJECT,
ResultsStandingsDetail,OBJECT,
PlayerProfileCareer,OBJECT,
TourPills,OBJECT,
PlayerProfileAchievement,OBJECT,
PlayerProfileTable,OBJECT,
PlayerProfileRows,OBJECT,
PlayerProfileCareerYear,OBJECT,
PlayerProfileCourseResults,OBJECT,
CoursePills,OBJECT,
PlayerCourse,OBJECT,
PlayerProfileOverviewItem,OBJECT,
CourseResultsTournament,OBJECT,
RoundScoreItem,OBJECT,
PlayerProfileMajors,OBJECT,
MajorTimeline,OBJECT,
MajorResultsTournament,OBJECT,
PlayerProfileCareerResults,OBJECT,
PlayerProfileTournamentResults,OBJECT,
TournamentResultPill,OBJECT,
TournamentResults,OBJECT,
PlayerProfileInfoItem,OBJECT,  Player Profile Tournament Results
PlayerProfileTournamentRow,OBJECT,
TournamentResultOverview,OBJECT,
TournamentHoleStats,OBJECT,
CourseStat,OBJECT,
HoleDetailsAvailability,ENUM,
CourseRound,OBJECT,
HoleStat,UNION,
CourseHoleStats,OBJECT,
SummaryRow,OBJECT,
SummaryRowType,ENUM,
TournamentCourse,OBJECT,
InformationData,OBJECT,
HoleDetail,OBJECT,
HoleStatSummary,OBJECT,
HoleDetailInfo,OBJECT,
HoleDetailRound,OBJECT,
HoleGroup,OBJECT,
HoleGroupPlayer,OBJECT,
TeamHoleGroups,OBJECT,
HoleGroupTeam,OBJECT,
HoleMatch,OBJECT,
YourTourStory,OBJECT,
YourTourCard,UNION,
YTCoverCard,OBJECT,
YTCardProps,OBJECT,
YTTextPosition,ENUM,
YTCardCtaProps,OBJECT,
YTHighlightCard,OBJECT,
YTTournamentUpdateCard,OBJECT,
YTArticleCard,OBJECT,
YTNuggetCard,OBJECT,
YTAdInterstitialCard,OBJECT,
YTSponsorActivationCard,OBJECT,
YTCardSponsorProps,OBJECT,
YTActivationData,OBJECT,
YTScorecardCard,OBJECT,
YTPlayer,OBJECT,
YTTournament,OBJECT,
YTRound,OBJECT,
YTLeaderboardCard,OBJECT,
YtVideoStory,OBJECT,
YtVideoStoryType,ENUM,
YourTourNews,UNION,
PromoSectionContainer,OBJECT,
PromoItem,UNION,
PromoSection,OBJECT,
PromoSectionItem,OBJECT,
PromoSectionNewsSection,OBJECT,
FieldPromoSection,OBJECT,
PromoSectionType,ENUM,
StatLeaderCategory,OBJECT,
StatCategory,ENUM,
StatCategoryConfig,OBJECT,
StatSubCategory,OBJECT,
StatCategoryStat,OBJECT,
StatCategoryConfigType,ENUM,
StatLeaderSubCategory,OBJECT,
LeaderStat,OBJECT,
StatLeaderSubCategoryPromo,OBJECT,
MobileStatLeaders,OBJECT,
MobileCategoryPill,OBJECT,
MobileStatCategoryLeaders,OBJECT,
MobileStat,OBJECT,
OverviewStats,OBJECT,
OverviewStat,OBJECT,
StatDetails,OBJECT,
CategoryStatType,ENUM,
StatDetailsRow,UNION,
StatDetailsPlayer,OBJECT,
StatRankMovement,ENUM,
CategoryPlayerStat,OBJECT,
StatDetailTourAvg,OBJECT,
NewsArticleDetails,OBJECT,
NewsArticleHero,OBJECT,
NewsArticleMetadata,OBJECT,
NewsArticleMetadataSegment,OBJECT,
NewsArticleNode,UNION,
NewsArticleHeader,OBJECT,
NewsArticleHeaderSegment,OBJECT,
NewsArticleLineBreak,OBJECT,
NewsArticleParagraph,OBJECT,
NewsArticleVideo,OBJECT,
NewsArticleImage,OBJECT,
NewsArticleDivider,OBJECT,
NewsArticlePhotoGallery,OBJECT,
NewsArticleStats,OBJECT,
ContentStat,OBJECT,
NewsArticleStatType,ENUM,
NewsArticleScoreCard,OBJECT,
NewsArticleHowToWatch,OBJECT,
NewsArticleWeather,OBJECT,
NewsArticlePlayerComparison,OBJECT,
PlayerComparisonDisplay,ENUM,
NewsArticleOddsGraph,OBJECT,
HistoricalOddsId,ENUM,
OddsTimeType,ENUM, Odds Graph
NewsArticleEmbedded,OBJECT,
TableFragment,OBJECT,
TableBody,OBJECT,
TableRows,UNION,
TableHeaderRow,OBJECT,
TableColumn,OBJECT,
TableColumnValue,UNION,
TableColumnSegment,OBJECT,
UnorderedListNode,OBJECT,
ListItem,OBJECT,
ListNodeItems,UNION,
NewsArticlePlayerTournamentOdds,OBJECT,
OddsMarketType,ENUM,  End Market Abstractions
AWSDateTime,SCALAR,"The `AWSDateTime` scalar type provided by AWS AppSync, represents a valid ***extended*** [ISO 8601 DateTime](https://en.wikipedia.org/wiki/ISO_8601#Combined_date_and_time_representations) string. In other words, this scalar type accepts datetime strings of the form `YYYY-MM-DDThh:mm:ss.SSSZ`.  The scalar can also accept ""negative years"" of the form `-YYYY` which correspond to years before `0000`. For example, ""**-2017-01-01T00:00Z**"" and ""**-9999-01-01T00:00Z**"" are both valid datetime strings.  The field after the two digit seconds field is a nanoseconds field. It can accept between 1 and 9 digits. So, for example, ""**1970-01-01T12:00:00.2Z**"", ""**1970-01-01T12:00:00.277Z**"" and ""**1970-01-01T12:00:00.123456789Z**"" are all valid datetime strings.  The seconds and nanoseconds fields are optional (the seconds field must be specified if the nanoseconds field is to be used).  The [time zone offset](https://en.wikipedia.org/wiki/ISO_8601#Time_zone_designators) is compulsory for this scalar. The time zone offset must either be `Z` (representing the UTC time zone) or be in the format `±hh:mm:ss`. The seconds field in the timezone offset will be considered valid even though it is not part of the ISO 8601 standard."
HistoricalTournamentOddsArgs,OBJECT,
TableDataRow,OBJECT,
ArticleOddsTableQuery,OBJECT,
ArticleOddsMarkets,OBJECT,
ArticleOddsPlayer,OBJECT,
NewsArticleTweetNode,OBJECT,
ExpertPicksNode,OBJECT,
NewsArticleBlockQuote,OBJECT,
NewsArticleInstagram,OBJECT,
NewsArticleOddsParagraph,OBJECT,
OddsParagraphContent,UNION,
NewsArticleInlineOdds,OBJECT,
RelatedFactsNode,OBJECT,
TGLBoxScore,OBJECT,
CerosEmbedPlugin,OBJECT,
NewsArticleDetailsCompressed,OBJECT,
RyderCupContent,UNION,
RCPhotoGallery,OBJECT,
Image,OBJECT,
RyderCupContentType,ENUM,
RyderCupContentCompressed,OBJECT,
PaginationDetails,OBJECT,
RyderCupMediaSearchOptions,OBJECT,
RCContentTypeParent,OBJECT,
RCTeamTypeParent,OBJECT,
RyderCupTopicOption,OBJECT,
RyderCupPlayerOption,OBJECT,
RyderCupTeamRankings,OBJECT,
ToolTipComponent,OBJECT,
RyderCupRankingsRow,UNION,
RyderCupRankingsQueryInput,INPUT_OBJECT,
RankingsTeams,ENUM,
ExpertPicks,OBJECT,
ExpertPicksTableRow,OBJECT,
PlayerInfo,OBJECT,
TourSponsorDescription,UNION,
PowerRankings,OBJECT,
PowerRankingsTableRow,OBJECT,
RelatedFact,OBJECT,
GenericContent,OBJECT,
GenericContentCompressed,OBJECT,
WeatherSummary,OBJECT,
WeatherDetails,OBJECT,
WeatherTemp,UNION,
StandardWeatherTemp,OBJECT,
RangeWeatherTemp,OBJECT,
TournamentOverview,OBJECT,
TournamentChampion,OBJECT,
TournamentTeamChampion,OBJECT,
AugmentedRealityConfig,OBJECT,
ARHole,OBJECT,
TournamentActivation,OBJECT,
PresentedByConfig,OBJECT,
CourseStatsDetails,OBJECT,
ToughestRound,ENUM,
ToughestCourseRoundPills,OBJECT,
CourseStatsDetailsRow,OBJECT,
CourseDetailRowValue,OBJECT,
CourseStatsId,ENUM,
CourseStatsOverview,OBJECT,
CourseStatsCategory,OBJECT,
CourseOverviewItem,OBJECT,
CourseOverviewItemDetails,OBJECT,
ScheduleYears,OBJECT,
ScheduleYear,OBJECT,
EventGuideConfig,OBJECT,
ContentFragmentsCompressed,OBJECT,
RyderCupTournamentOverview,OBJECT,
RyderCupCourse,OBJECT,
RyderCupTournament,OBJECT,
RyderCupTeam,OBJECT,
RyderCupCaptain,OBJECT,
RyderCupPlayer,OBJECT,
HistoryInfo,OBJECT,
ContentCarousel,UNION,
TournamentHistory,OBJECT,
TournamentHistoryPlayerTable,OBJECT,
TournamentHistoryPlayer,OBJECT,
TournamentHistoryCourseTable,OBJECT,
TournamentHistoryCourse,OBJECT,
TournamentRecap,OBJECT,
TournamentRecapCourse,OBJECT,
VideoHero,OBJECT,
RCVideoPage,OBJECT,
ArticleSponsor,ENUM,
SponsoredArticles,OBJECT,
TourcastTable,OBJECT,
TCWinner,UNION,
TourcastCourse,OBJECT,
TourcastPlayoff,OBJECT,
TourcastPlayoffPlayer,OBJECT,
TourcastHole,OBJECT,
TourcastGroup,OBJECT,
TourcastPlayer,OBJECT,
TourcastTeamGroup,OBJECT,
TourcastTeam,OBJECT,
CupLeaderboardMatch,OBJECT,
CupLeaderboardMatchTeam,OBJECT,
CupLeaderboardMatchPlayer,OBJECT,
CupLeaderboardMatchPlayerResults,OBJECT,
CupLeaderboardTeamStatus,ENUM,
TourSponsor,OBJECT,
UniversityRankings,OBJECT,
StatWeekPill,OBJECT,
UniversityRankingPlayer,OBJECT,
UniversityRankColor,ENUM,
UniversityRankingsTournament,OBJECT,
PriorityRankings,OBJECT,
PriorityCategory,OBJECT,
PriorityPlayer,OBJECT,
Aon,OBJECT,
AonPlayer,OBJECT,
AonHole,OBJECT,
RSMStandings,OBJECT,
RSMPlayer,OBJECT,
RSMEventWinner,OBJECT,
RSMHistoricalWinner,OBJECT,
RSMLeaderboard,OBJECT,
RSMLeaderboardPlayer,OBJECT,
OddsTable,OBJECT,  Odds Table
PlayerMarketsRow,OBJECT,
HistoricalPlayerOdds,OBJECT,
ArticleOddsMarketsInput,INPUT_OBJECT,
ArticleOddsPlayerInput,INPUT_OBJECT,
OddsTimeline,OBJECT,
OddsTimelinePlayer,OBJECT,
OddsTimelinePoint,OBJECT,
HistoricalTournamentOdds,OBJECT,"  End
 Market Abstractions"
Market,OBJECT,
SubMarket,OBJECT,
OddsOptionV2,UNION,
OddsCutsOption,OBJECT,
OddsEntity,OBJECT,  Odds Primitives
OddsPlayer,OBJECT,
OddsValues,OBJECT,
OddsFinishesOption,OBJECT,
BaseOddsOption,INTERFACE,  Odds Options Types
OddsLeadersOption,OBJECT,
OddsNationalityOption,OBJECT,
OddsToWinV2,OBJECT,
OddsGroupOptionV2,OBJECT,
OddsMatchupOptionGroup,OBJECT,
MatchupOptionV2,OBJECT,
EaglesForImpact,OBJECT,
EFIHole,OBJECT,
EFIPlayer,OBJECT,
EFIPlayerEagle,OBJECT,
TournamentOddsV2,OBJECT,
MarketPill,OBJECT,
OddsFormat,ENUM,
TournamentOddsCompressedV2,OBJECT,
EntityOdds,OBJECT,  Player Odds V2
LeaderboardInfo,OBJECT,
PlayerComparison,OBJECT,
PlayerComparisonCategory,ENUM,
PlayerComparisonCategoryPill,OBJECT,
PlayerComparisonTable,OBJECT,
PlayerComparisonHeader,OBJECT,
PlayerComparisonRow,OBJECT,
PlayerComparisonValue,OBJECT,
PlayerComparisonOdds,OBJECT,
Newsletter,OBJECT,
SearchBarFeatures,OBJECT,
SearchBarPlayerFeatures,OBJECT,
SearchBarPlayer,OBJECT,
RankingsPastWinner,OBJECT,
PlayerFinishStats,OBJECT,
FinishStatValue,OBJECT,
CupTournamentStatus,OBJECT,
CupOverviewDisplayType,ENUM,
CupTournamentTeam,OBJECT,
CupTournamentLeaderboard,OBJECT,
CupRoundFormat,ENUM,
CupTournamentRound,OBJECT,
CupTournamentLeaderboardCompressed,OBJECT,
CupScorecard,OBJECT,
CupTeam,OBJECT,
CupTeeTimes,OBJECT,
CupTeeTimesRound,OBJECT,
CupTeamRosters,OBJECT,
CupTeamRoster,OBJECT,
CupTeamRosterSection,OBJECT,
CupPastResults,OBJECT,
CupPastResultsYear,OBJECT,
CupPastResultsTeam,OBJECT,
LeaderboardHoleByHole,OBJECT,
HoleHeader,OBJECT,
CourseHoleHeader,OBJECT,
HoleHeaderV2,OBJECT,
PlayerRowHoleByHole,OBJECT,
ContentFragmentType,OBJECT,
AllTimeRecordStat,OBJECT,
AllTimeRecordStatRow,OBJECT,
AllTimeRecordCategories,OBJECT,
AllTimeRecordCategory,OBJECT,
AllTimeRecordSubCategory,OBJECT,
AllTimeRecordStatistic,OBJECT,
TournamentOddsToWin,OBJECT,
TournamentOddsPlayer,OBJECT,
CurrentLeadersCompressed,OBJECT,
UniversityTotalPoints,OBJECT,
UniversityTotalPointsPill,OBJECT,
UniversityTotalPointsPlayer,OBJECT,
ScorecardStatsComparison,OBJECT,
TGLSchedule,OBJECT,
TGLMatch,OBJECT,
TGLTeam,OBJECT,
TGLPlayer,OBJECT,
TGLMatchStatus,ENUM, ## TGL Types
GroupLocation,OBJECT,
GroupLocationCourse,OBJECT,
GroupLocationHole,OBJECT,
GroupLocationGroup,OBJECT,
GroupHoleLocation,ENUM,
GroupLocationPlayerData,OBJECT,
Mutation,OBJECT,
LeaderboardUpdateCompressedV3,OBJECT,
OddsUpdateInput,INPUT_OBJECT,
ScorecardUpdateCompressedV3,OBJECT,
FavoritePlayer,OBJECT,
FavoritePlayerInput,INPUT_OBJECT,
NotificationTagResponse,OBJECT,
NotificationTag,OBJECT,
NotificationTagInput,INPUT_OBJECT,
FavoriteTourResponse,OBJECT,
DeleteAccountResponse,OBJECT,
UnsubscribeResponse,OBJECT,
Subscription,OBJECT,
GroupRoundScore,OBJECT,
GroupScoreHeader,OBJECT,
GroupScorePlayer,OBJECT,
ContentFragment,OBJECT,
ContentFragments,UNION,
HomepageLead,OBJECT,
HomePageLeadLayout,ENUM,
HomepageAssets,UNION,
HomepagePlayerScore,OBJECT,
HomepageCta,OBJECT,
TournamentLocation,OBJECT,
HomepageProgramStanding,OBJECT,
HomePageProgramStandingLayout,ENUM,
HomePageStanding,OBJECT,
ProgramStat,OBJECT,
MediaGallery,OBJECT,
MediaGalleryItems,UNION,
MediaGalleryItem,OBJECT,
KopHeader,OBJECT,
KopSubheader,OBJECT,
KopSignUp,OBJECT,
KopUpcomingTournament,OBJECT,
KopStandingsList,OBJECT,
KopZigZag,OBJECT,
ThreeUpStats,OBJECT,
ThreeUpPhoto,OBJECT,
TwoColumn,OBJECT,
HomepageNews,OBJECT,
HomePageNewsLayout,ENUM,
DropdownFragment,OBJECT,
DropdownRow,OBJECT,
OddsToWinTracker,OBJECT,
TGLBoxScoreFragment,OBJECT,
PageMetadata,OBJECT,
PageMetadataSegment,OBJECT,
TeamplayHolePlayer,OBJECT,
CurrentLeaderSponsors,OBJECT,
StandingStat,OBJECT,
KOPContentType,UNION,
KitOfParts,OBJECT,
KopFragment,UNION,
FutureVenuesFragment,OBJECT,
FutureVenuesCard,OBJECT,
ScorecardUpdateV3,OBJECT,
Stats,OBJECT,
CategoryStat,OBJECT,
CategoryStatPlayer,OBJECT,
ImageBlock,OBJECT,
BroadcastCoverageItem,UNION,
HeroCarousel,OBJECT,
HeroCarouselItem,OBJECT,
CurrentLeaders,OBJECT,
CurrentLeaderPlayer,OBJECT,
FutureVenuesTableFragment,OBJECT,
FutureVenuesRow,OBJECT,
LeaderboardUpdatePlayerV3,OBJECT,
RCHomepageAssets,UNION,
GroupScorecard,OBJECT,
ResultsYears,OBJECT,
RolexClock,OBJECT,
CourseInfo,OBJECT,
HistoryScore,OBJECT,
