YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG (YARDS),TOTAL DISTANCE (INCHES),NUMBER OF APPROACH SHOTS
2014,26,0,27141,J.B. Holmes,161.5,4912595000.0,845
2014,26,0,29461,Jamie Lovemark,161.5,3041476000.0,523
2014,26,0,27120,Troy Matteson,161.5,3086511000.0,531
2014,26,0,22293,Heath Slocum,161.5,4290064000.0,738
2014,31,0,25444,Justin Hicks,161.6,6138893000.0,1055
2014,32,0,25804,Bubba Watson,161.7,3689642000.0,634
2014,33,0,21731,Freddie Jacobson,161.9,5473466000.0,939
2014,33,0,24140,Sean O'Hair,161.9,4575649000.0,785
2014,35,0,20229,Stewart Cink,162.0,4746348000.0,814
2014,36,0,20498,Briny Baird,162.1,3023529000.0,518
2014,36,0,32200,Roberto Castro,162.1,3956386000.0,678
2014,36,0,34021,Bud Cauley,162.1,3068778000.0,526
2014,36,0,21753,Brian Davis,162.1,5380140000.0,922
2014,36,0,34261,Scott Langley,162.1,5379116000.0,922
2014,41,0,25274,Steven Bowditch,162.2,4974295000.0,852
2014,41,0,22913,John Rollins,162.2,4619506000.0,791
2014,43,0,7867,Woody Austin,162.3,3687152000.0,631
2014,43,0,32448,James Hahn,162.3,4862350000.0,832
2014,43,0,27936,Martin Laird,162.3,3563579000.0,610
2014,46,0,34098,Russell Henley,162.4,4746887000.0,812
2014,46,0,33461,Morgan Hoffmann,162.4,5786382000.0,990
2014,48,0,35539,Luke Guthrie,162.5,5024574000.0,859
2014,49,0,32366,Kevin Chappell,162.6,5694911000.0,973
2014,49,0,34046,Jordan Spieth,162.6,5138654000.0,878
2014,49,0,29518,Brendan Steele,162.6,4577192000.0,782
2014,52,0,24846,Ricky Barnes,162.7,5300327000.0,905
2014,52,0,27644,Brian Harman,162.7,6811799000.0,1163
2014,52,0,23108,Matt Kuchar,162.7,5136209000.0,877
2014,52,0,25345,Carl Pettersson,162.7,5668810000.0,968
2014,56,0,37273,Derek Ernst,162.8,4108379000.0,701
2014,57,0,29740,Brad Fritsch,162.9,2661859000.0,454
2014,57,0,22378,Trevor Immelman,162.9,4516369000.0,770
2014,57,0,36689,Brooks Koepka,162.9,2767964000.0,472
2014,57,0,33418,Shawn Stefani,162.9,3900007000.0,665
2014,57,0,27770,Camilo Villegas,162.9,5534836000.0,944
2014,62,0,23800,Bryce Molder,163.0,4466417000.0,761
2014,62,0,6567,Vijay Singh,163.0,5203713000.0,887
2014,64,0,23135,Tim Clark,163.1,4191241000.0,714
2014,64,0,28500,Martin Flores,163.1,4614436000.0,786
2014,66,0,12510,Chad Campbell,163.2,3343514000.0,569
2014,66,0,30692,Scott Stallings,163.2,4141598000.0,705
2014,66,0,25349,Tim Wilkinson,163.2,4945860000.0,842
2014,69,0,24925,Jonathan Byrd,163.3,4432112000.0,754
2014,69,0,31557,Jim Herman,163.3,3203350000.0,545
2014,71,0,23353,J.J. Henry,163.4,5588951000.0,950
2014,71,0,30926,Chris Kirk,163.4,5734544000.0,975
2014,71,0,30944,Jason Kokrak,163.4,4024633000.0,684
2014,71,0,34409,David Lingmerth,163.4,4318098000.0,734
2014,71,0,1706,Davis Love III,163.4,4211512000.0,716
2014,71,0,1724,Jeff Maggert,163.4,3052669000.0,519
2014,77,0,20098,Stuart Appleby,163.5,5590618000.0,950
2014,77,0,26331,Charl Schwartzel,163.5,3513509000.0,597
2014,79,0,26758,David Hearn,163.6,5695771000.0,967
2014,79,0,29222,Billy Hurley III,163.6,5118401000.0,869
2014,79,0,28475,Jeff Overton,163.6,4405384000.0,748
2014,79,0,24361,Pat Perez,163.6,5128766000.0,871
2014,83,0,28089,Jason Day,163.7,2309637000.0,392
2014,83,0,25562,Andres Romero,163.7,4654361000.0,790
2014,85,0,28259,Sangmoon Bae,163.8,4192993000.0,711
2014,85,0,8075,Jerry Kelly,163.8,4575643000.0,776
2014,85,0,22046,Geoff Ogilvy,163.8,4871205000.0,826
2014,85,0,23621,Rory Sabbatini,163.8,4221819000.0,716
2014,85,0,34264,Hudson Swafford,163.8,3892294000.0,660
2014,90,0,24494,Erik Compton,163.9,5110509000.0,866
2014,90,0,6522,Ernie Els,163.9,4259413000.0,722
2014,90,0,35541,John Peterson,163.9,3753003000.0,636
2014,93,0,20593,Greg Chalmers,164.0,4857674000.0,823
2014,93,0,33413,Ben Martin,164.0,4263092000.0,722
2014,93,0,27556,Ted Potter Jr.,164.0,4362190000.0,739
2014,96,0,22621,Ben Curtis,164.1,4313371000.0,730
2014,96,0,33122,Russell Knox,164.1,5915066000.0,1001
2014,96,0,30927,Brendon Todd,164.1,6345817000.0,1074
2014,96,0,27064,Jhonattan Vegas,164.1,4412637000.0,747
2014,100,0,24924,Bill Haas,164.2,5728291000.0,969
2014,100,0,34563,Chesson Hadley,164.2,4516285000.0,764
2014,100,0,10860,Justin Leonard,164.2,4369009000.0,739
2014,100,0,27466,Spencer Levin,164.2,3482059000.0,589
2014,100,0,24781,Hunter Mahan,164.2,4829571000.0,817
2014,100,0,27933,John Merrick,164.2,4839835000.0,819
2014,100,0,23320,Ryan Palmer,164.2,4368265000.0,739
2014,107,0,27649,Brandt Snedeker,164.3,4440907000.0,751
2014,107,0,30110,Kyle Stanley,164.3,4730880000.0,800
2014,109,0,34099,Harris English,164.5,4967917000.0,839
2014,109,0,26951,Johnson Wagner,164.5,4103517000.0,693
2014,111,0,25720,Chad Collins,164.6,4200492000.0,709
2014,111,0,1810,Phil Mickelson,164.6,3330326000.0,562
2014,111,0,31560,Brian Stuard,164.6,4946934000.0,835
2014,114,0,30852,Ryo Ishikawa,164.7,3989585000.0,673
2014,114,0,26300,Matt Jones,164.7,3973204000.0,670
2014,116,0,27095,Nick Watney,164.8,3772386000.0,636
2014,117,0,25240,D.A. Points,164.9,3681359000.0,620
2014,118,0,28092,D.H. Lee,165.0,3118922000.0,525
2014,118,0,29425,Andrew Svoboda,165.0,4580622000.0,771
2014,118,0,25632,Jimmy Walker,165.0,4780438000.0,805
2014,121,0,24358,Robert Garrigus,165.1,4683660000.0,788
2014,121,0,29289,S.Y. Noh,165.1,5123639000.0,862
2014,123,0,10885,Robert Allenby,165.2,4840210000.0,814
2014,123,0,23541,Ben Crane,165.2,5407464000.0,909
2014,125,0,25686,Jason Dufner,165.3,2719149000.0,457
2014,125,0,29420,Billy Horschel,165.3,4791641000.0,805
2014,127,0,24357,K.J. Choi,165.4,4567795000.0,767
2014,127,0,24912,Will MacKenzie,165.4,4798319000.0,806
2014,129,0,23409,James Driscoll,165.5,3759831000.0,631
2014,129,0,10809,Jim Furyk,165.5,4922411000.0,826
2014,129,0,22405,Justin Rose,165.5,3592594000.0,603
2014,129,0,21878,Mark Wilson,165.5,4009750000.0,673
2014,133,0,25834,Daniel Summerhays,165.6,6075910000.0,1019
2014,133,0,28780,Nicholas Thompson,165.6,4757596000.0,798
2014,135,0,25572,Graeme McDowell,165.7,3168297000.0,531
2014,135,0,29221,Webb Simpson,165.7,4922007000.0,825
2014,137,0,25191,Gonzalo Fernandez-Castaño,165.8,4565438000.0,765
2014,137,0,31202,William McGirt,165.8,5788510000.0,970
2014,139,0,23638,Brendon de Jonge,165.9,6427665000.0,1076
2014,139,0,27436,Graham DeLaet,165.9,4431118000.0,742
2014,139,0,24024,Zach Johnson,165.9,5882711000.0,985
2014,139,0,34265,Will Wilcox,165.9,2830363000.0,474
2014,143,0,24507,Jason Bohn,166.0,4995853000.0,836
2014,143,0,25364,Paul Casey,166.0,2897573000.0,485
2014,143,0,20104,Ken Duke,166.0,4524979000.0,757
2014,143,0,20645,John Senden,166.0,5808616000.0,972
2014,143,0,27963,Chris Stroud,166.0,4889781000.0,818
2014,148,0,20160,Charlie Wi,166.1,4515085000.0,755
2014,149,0,29479,Scott Brown,166.2,5653808000.0,945
2014,149,0,20848,Ángel Cabrera,166.2,3943464000.0,659
2014,149,0,35139,Richard Lee,166.2,4242041000.0,709
2014,152,0,26679,Kevin Stadler,166.3,4419445000.0,738
2014,153,0,22371,Aaron Baddeley,166.5,3915214000.0,653
2014,154,0,24138,Ian Poulter,166.6,2722334000.0,454
2014,154,0,33419,Cameron Tringale,166.6,6969736000.0,1162
2014,154,0,10423,Mike Weir,166.6,3736066000.0,623
2014,157,0,27214,Kevin Streelman,166.7,3774325000.0,629
2014,158,0,29926,Danny Lee,166.8,4616591000.0,769
2014,158,0,24502,Adam Scott,166.8,3718038000.0,619
2014,158,0,20396,Lee Westwood,166.8,2779844000.0,463
2014,161,0,24663,Y.E. Yang,166.9,4236165000.0,705
2014,162,0,28307,Matt Every,167.3,4367668000.0,725
2014,163,0,34174,John Huh,167.4,4965605000.0,824
2014,164,0,33141,Keegan Bradley,167.5,4739371000.0,786
2014,164,0,27408,Martin Kaymer,167.5,3220291000.0,534
2014,166,0,32839,Hideki Matsuyama,167.7,4243769000.0,703
2014,166,0,28237,Rory McIlroy,167.7,3037513000.0,503
2014,168,0,26851,Marc Leishman,167.9,4764031000.0,788
2014,169,0,28486,Michael Putnam,168.2,6254396000.0,1033
2014,170,0,25396,Kevin Na,168.4,5553797000.0,916
2014,171,0,32102,Rickie Fowler,168.5,4239692000.0,699
2014,171,0,24490,George McNeill,168.5,4778729000.0,788
2014,173,0,26596,Ryan Moore,168.8,4259132000.0,701
2014,174,0,23983,Luke Donald,168.9,3082155000.0,507
2014,175,0,21209,Sergio Garcia,169.0,2926761000.0,481
2014,176,0,31323,Gary Woodland,169.6,5153704000.0,844
2014,177,0,21528,Henrik Stenson,172.8,2532508000.0,407
2022,1,0,40250,Taylor Pendrith,155.2,3688361.0,660
2022,2,0,22056,Cameron Percy,155.9,2054646.0,366
2022,3,0,32366,Kevin Chappell,157.4,2697229.0,476
2022,4,0,57366,Cameron Young,157.6,4260299.0,751
2022,5,0,24980,Scott Gutschewski,157.9,2427786.0,427
2022,6,0,39436,Joshua Creel,158.2,2358012.0,414
2022,7,0,32333,Kevin Tway,158.6,4362986.0,764
2022,8,0,31557,Jim Herman,158.8,2898110.0,507
2022,9,0,46601,Trey Mullinax,159.0,4070040.0,711
2022,10,0,47988,Nick Hardy,159.1,2857210.0,499
2022,11,0,27095,Nick Watney,159.3,4013180.0,700
2022,12,0,56278,Matthew Wolff,159.4,2329119.0,406
2022,13,0,32640,Troy Merritt,159.5,4806700.0,837
2022,14,0,36852,Jim Knous,159.6,2349718.0,409
2022,14,0,36699,Patrick Rodgers,159.6,4654365.0,810
2022,16,0,51766,Wyndham Clark,159.8,4822132.0,838
2022,16,0,45486,Joaquin Niemann,159.8,3687849.0,641
2022,16,0,29518,Brendan Steele,159.8,4204578.0,731
2022,16,0,47483,Will Zalatoris,159.8,3634947.0,632
2022,20,0,33399,Adam Hadwin,159.9,5009104.0,870
2022,20,0,12716,Charley Hoffman,159.9,3672883.0,638
2022,20,0,32139,Danny Willett,159.9,2814006.0,489
2022,23,0,47983,Chad Ramey,160.0,3444358.0,598
2022,23,0,10381,Curtis Thompson,160.0,2861878.0,497
2022,25,0,29289,S.Y. Noh,160.1,2899896.0,503
2022,25,0,54783,Dylan Wu,160.1,3354912.0,582
2022,27,0,34363,Tyrrell Hatton,160.2,2958708.0,513
2022,27,0,47856,Seth Reeves,160.2,3033974.0,526
2022,29,0,34610,Matthias Schwab,160.4,3631787.0,629
2022,29,0,45540,Jared Wolfe,160.4,3147476.0,545
2022,31,0,24024,Zach Johnson,160.5,3651201.0,632
2022,31,0,37189,Harold Varner III,160.5,3748802.0,649
2022,33,0,51894,Vince Whaley,160.6,4220681.0,730
2022,34,0,24925,Jonathan Byrd,160.7,3014423.0,521
2022,35,0,25686,Jason Dufner,160.8,2541877.0,439
2022,35,0,33204,Shane Lowry,160.8,3316548.0,573
2022,37,0,48117,Kurt Kitayama,160.9,2959247.0,511
2022,38,0,39058,Lucas Herbert,161.0,2550035.0,440
2022,38,0,21961,Charles Howell III,161.0,2985329.0,515
2022,40,0,39953,Chase Seiffert,161.1,2458652.0,424
2022,41,0,35450,Patrick Cantlay,161.2,3325710.0,573
2022,42,0,27895,Jonas Blixt,161.3,2636201.0,454
2022,42,0,20229,Stewart Cink,161.3,4257192.0,733
2022,42,0,34563,Chesson Hadley,161.3,4192682.0,722
2022,42,0,23621,Rory Sabbatini,161.3,3175641.0,547
2022,46,0,46970,Jon Rahm,161.4,3620678.0,623
2022,47,0,46435,Austin Cook,161.5,3557998.0,612
2022,48,0,27644,Brian Harman,161.6,5271844.0,906
2022,48,0,29420,Billy Horschel,161.6,3746373.0,644
2022,48,0,34431,Robert Streb,161.6,4963853.0,853
2022,51,0,28237,Rory McIlroy,161.7,3253458.0,559
2022,51,0,33486,Roger Sloan,161.7,3870777.0,665
2022,51,0,34046,Jordan Spieth,161.7,3934890.0,676
2022,54,0,40098,Matt Fitzpatrick,161.9,3379656.0,580
2022,54,0,24924,Bill Haas,161.9,4638952.0,796
2022,56,0,46550,Brandon Hagy,162.0,3626590.0,622
2022,57,0,54421,Garrick Higgo,162.1,2392653.0,410
2022,57,0,32757,Patton Kizzire,162.1,5368911.0,920
2022,57,0,46046,Scottie Scheffler,162.1,4179541.0,716
2022,60,0,34255,Joseph Bramlett,162.2,4373892.0,749
2022,60,0,52375,Doug Ghim,162.2,4683874.0,802
2022,60,0,32662,Michael Gligic,162.2,3726355.0,638
2022,60,0,34466,Peter Malnati,162.2,5638964.0,966
2022,64,0,45157,Cam Davis,162.3,4891239.0,837
2022,64,0,28775,Nate Lashley,162.3,4009149.0,686
2022,64,0,27649,Brandt Snedeker,162.3,3342917.0,572
2022,67,0,29908,C.T. Pan,162.5,4727836.0,808
2022,67,0,39324,J.J. Spaun,162.5,4698288.0,803
2022,69,0,33597,Harry Higgs,162.6,4687331.0,801
2022,69,0,24502,Adam Scott,162.6,4098473.0,700
2022,69,0,50095,Austin Smotherman,162.6,4120239.0,704
2022,72,0,45522,Christiaan Bezuidenhout,162.8,3897612.0,665
2022,72,0,27129,Luke List,162.8,4150458.0,708
2022,72,0,46442,Maverick McNealy,162.8,4572298.0,780
2022,72,0,46340,Alex Smalley,162.8,5039875.0,860
2022,76,0,23983,Luke Donald,162.9,3425728.0,584
2022,76,0,32102,Rickie Fowler,162.9,3700559.0,631
2022,76,0,26300,Matt Jones,162.9,3283797.0,560
2022,76,0,48887,Matt Wallace,162.9,3207116.0,547
2022,80,0,33141,Keegan Bradley,163.0,4336199.0,739
2022,81,0,34076,Joel Dahmen,163.1,4842978.0,825
2022,81,0,45609,Tyler Duncan,163.1,4367183.0,744
2022,81,0,33122,Russell Knox,163.1,5202469.0,886
2022,81,0,23108,Matt Kuchar,163.1,4193595.0,714
2022,85,0,19803,Ryan Armour,163.2,2473463.0,421
2022,85,0,33448,Justin Thomas,163.2,3960103.0,674
2022,87,0,31323,Gary Woodland,163.3,3821935.0,650
2022,88,0,29974,Branden Grace,163.4,2870013.0,488
